title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
The Departed,2006,"Crime, Drama, Thriller",151,USA,"English, Cantonese",Martin Scorsese,"William Monahan, Alan Mak",Warner Bros.,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Anthony Anderson, Alec Baldwin, Kevin Corrigan, James Badge Dale, David O'Hara, Mark Rolston, Robert Wahlberg, Kristen Dalton",8.5,1104022,90000000,132384315,291465034,85.0,2210.0,357.0
Sweeney Todd: The Demon Barber of Fleet Street,2007,"Drama, Horror, Musical",116,"USA, UK","English, Italian",Tim Burton,"John Logan, Hugh Wheeler",DreamWorks,"Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jamie Campbell Bower, Laura Michelle Kelly, Jayne Wisener, Ed Sanders, Gracie May, Ava May, Gabriella Freeman, Jody Halse, Aron Paramor, Lee Whitlock",7.3,327790,50000000,52898073,152523164,83.0,814.0,384.0
Munich,2005,"Biography, Crime, Drama",164,"France, Canada, USA","English, German, French, Hebrew, Arabic, Italian, Greek, Russian, Dutch",Steven Spielberg,"Tony Kushner, Eric Roth",DreamWorks,"Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz, Hanns Zischler, Ayelet Zurer, Geoffrey Rush, Gila Almagor, Michael Lonsdale, Mathieu Amalric, Moritz Bleibtreu, Valeria Bruni Tedeschi, Meret Becker, Marie-Josée Croze, Yvan Attal",7.5,201419,70000000,47403685,130358645,74.0,843.0,312.0
Firewall,2006,"Action, Crime, Thriller",105,USA,English,Richard Loncraine,Joe Forte,Warner Bros.,"Harrison Ford, Virginia Madsen, Carly Schroeder, Jimmy Bennett, Gail Ann Lewis, Mary Lynn Rajskub, Matthew Currie Holmes, Candus Churchill, David Lewis, Zahf Paroo, Robert Forster, Robert Patrick, Alan Arkin, Pat Jenkinson, Eric Keenleyside",5.8,54335,50000000,48751189,82751189,45.0,304.0,162.0
Bad News Bears,2005,"Comedy, Sport",113,USA,"English, Spanish",Richard Linklater,"Bill Lancaster, Glenn Ficarra",Paramount Pictures,"Billy Bob Thornton, Greg Kinnear, Marcia Gay Harden, Sammi Kane Kraft, Ridge Canipe, Brandon Craggs, Jeffrey Davies, Timmy Deters, Carlos Estrada, Emmanuel Estrada, Troy Gentile, Kenneth 'K.C.' Harris, Aman Johal, Tyler Patrick Jones, Jeffrey Tedmori",5.8,19546,35000000,32868349,34252847,65.0,120.0,105.0
Flightplan,2005,"Drama, Mystery, Thriller",98,USA,"English, French, German, Arabic, Italian, Japanese",Robert Schwentke,"Peter A. Dowling, Billy Ray",Touchstone Pictures,"Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan, Michael Irby, Assaf Cohen, Erika Christensen, Shane Edelman, Mary Gallagher, Haley Ramm, Forrest Landis, Jana Kolesárová, Brent Sexton, Marlene Lawston, Judith Scott",6.3,145779,55000000,89707299,223387299,53.0,611.0,226.0
The Heartbreak Kid,2007,"Comedy, Romance",116,USA,"English, Spanish","Bobby Farrelly, Peter Farrelly","Scot Armstrong, Leslie Dixon",DreamWorks,"Ben Stiller, Malin Akerman, Michelle Monaghan, Jerry Stiller, Rob Corddry, Carlos Mencia, Scott Wilson, Polly Holliday, Danny McBride, Roy Jenkins, Stephanie Courtney, Amy Sloan, Jerry Sherman, Lauren Bowles, Nicholas Kromka",5.8,81276,60000000,36787257,127766650,46.0,198.0,172.0
Kids in America,2005,Comedy,91,USA,English,Josh Stolberg,"Andrew Shaifer, Josh Stolberg",Kids in America LLC,"Gregory Smith, Stephanie Sherrin, Chris Morris, Caitlin Wachs, Emy Coligado, Crystal Celeste Grant, Alex Anfanger, Julie Bowen, Malik Yoba, Andrew Shaifer, Nicole Richie, Genevieve Padalecki, George Wendt, Adam Arkin, Jeff Chase",5.7,2562,750000,537667,537667,38.0,34.0,14.0
Last Holiday,2006,"Comedy, Romance",112,USA,"English, French",Wayne Wang,"Jeffrey Price, Peter S. Seaman",Last Holiday Productions,"Queen Latifah, LL Cool J, Timothy Hutton, Giancarlo Esposito, Alicia Witt, Gérard Depardieu, Jane Adams, Michel Estime, Susan Kellermann, Jascha Washington, Matt Ross, Ranjit Chowdhry, Michael Nouri, Jaqueline Fleming, Kendall Mosby",6.4,26567,45000000,38399961,43343247,52.0,124.0,91.0
Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,"Comedy, Drama, Musical",103,USA,English,Randall Miller,"Randall Miller, Randall Miller",Shoreline Entertainment,"John Goodman, Elden Henson, Robert Carlyle, Sean Astin, Teresa Johnston, Kelley Parker, Michael Bower, Chance Michael Corbitt, Joshua Horowitz, Philip Perlman, Maria Parkinson, Karlyn Michelson, Camryn Manheim, Octavia Spencer, Marisa Tomei",6.6,2725,2500000,349132,410602,40.0,60.0,37.0
Poseidon,2006,"Action, Adventure, Drama",98,USA,"English, Spanish",Wolfgang Petersen,"Mark Protosevich, Paul Gallico",Warner Bros.,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez, Jimmy Bennett, Fergie, Andre Braugher, Kirk B.R. Woller, Kelly McNair, Gabriel Jarret",5.6,93602,160000000,60674817,181674817,50.0,655.0,227.0
Les poupées russes,2005,"Comedy, Drama, Romance",125,"France, UK","French, Russian, English, Spanish, Italian",Cédric Klapisch,Cédric Klapisch,Lunar Films,"Romain Duris, Kelly Reilly, Audrey Tautou, Cécile de France, Kevin Bishop, Evguenya Obraztsova, Irene Montalà, Gary Love, Lucy Gordon, Aïssa Maïga, Martine Demaret, Pierre Cassignard, Olivier Saladin, Pierre Gérald, Zinedine Soualem",7.0,18658,12500000,326095,23727301,67.0,49.0,73.0
Surveillance,2008,"Crime, Drama, Mystery",97,"USA, Germany, Canada",English,Jennifer Lynch,"Kent Harper, Jennifer Lynch",Lago Film,"Caroline Aaron, Hugh Dillon, David Gane, Gill Gayle, Kent Harper, Michael Ironside, Pell James, Daryl Haney, Shannon Jardine, Angela Lamarsh, Gerald Lenton-Young, Jennifer Miles, Mac Miller, Charlie Newmark, Julia Ormond",6.3,16310,3500000,27349,1138322,31.0,132.0,145.0
Watchmen,2009,"Action, Drama, Mystery",162,USA,English,Zack Snyder,"David Hayter, Alex Tse",Warner Bros.,"Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley, Jeffrey Dean Morgan, Patrick Wilson, Carla Gugino, Matt Frewer, Stephen McHattie, Laura Mennell, Rob LaBelle, Gary Houston, James M. Connor, Mary Ann Burger, John Shaw",7.6,468964,130000000,107509799,185258983,56.0,1362.0,474.0
Cowboys & Aliens,2011,"Action, Adventure, Fantasy",119,"USA, India","English, Apache languages",Jon Favreau,"Roberto Orci, Alex Kurtzman",Universal Pictures,"Daniel Craig, Abigail Spencer, Buck Taylor, Matthew Taylor, Cooper Taylor, Clancy Brown, Paul Dano, Chris Browning, Adam Beach, Sam Rockwell, Ana de la Reguera, Noah Ringer, Brian Duffy, Olivia Wilde, Keith Carradine",6.0,198734,163000000,100240551,174822325,50.0,520.0,433.0
Dnevnoy dozor,2006,"Action, Fantasy, Horror",132,Russia,Russian,Timur Bekmambetov,"Timur Bekmambetov, Sergey Lukyanenko",Bazelevs Production,"Konstantin Khabenskiy, Mariya Poroshina, Vladimir Menshov, Galina Tyunina, Viktor Verzhbitskiy, Zhanna Friske, Dmitriy Martynov, Valeriy Zolotukhin, Aleksey Chadov, Nurzhuman Ikhtymbaev, Aleksey Maklakov, Aleksandr Samoylenko, Yuriy Kutsenko, Irina Yakovleva, Georgiy Dronov",6.5,32436,4200000,450897,42918532,59.0,122.0,159.0
Hustle & Flow,2005,"Crime, Drama, Music",116,USA,English,Craig Brewer,Craig Brewer,Crunk Pictures,"Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, DJ Qualls, Ludacris, Paula Jai Parker, Elise Neal, Isaac Hayes, Juicy J, William Engram, Bobby Sandimanie, Haystak, Claude Phillips, Josey Scott",7.3,37181,2800000,22202809,23563727,68.0,210.0,147.0
The Lake House,2006,"Drama, Fantasy, Romance",99,USA,English,Alejandro Agresti,"David Auburn, Eun-Jeong Kim",Warner Bros.,"Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach, Willeke van Ammelrooy, Dylan Walsh, Shohreh Aghdashloo, Lynn Collins, Mike Bacarella, Kevin M. Brennan, Frank Caeti, Aliyah Carr, Jennifer Clark, Jacob D. Dumelle, Scott Elias",6.8,132527,40000000,52330111,114830111,52.0,574.0,180.0
Nim's Island,2008,"Adventure, Family, Fantasy",96,USA,English,"Jennifer Flackett, Mark Levin","Joseph Kwong, Paula Mazur",Walden Media,"Abigail Breslin, Jodie Foster, Gerard Butler, Michael Carman, Mark Brady, Anthony Simcoe, Christopher James Baker, Maddison Joyce, Peter Callan, Rhonda Doyle, Russell Butler, Colin Gibson, Bryan Probets, Andrew Nason, Dorothy Thorsen",6.0,32022,37000000,48006762,100076342,55.0,114.0,142.0
Taxidermia,2006,"Comedy, Drama, Horror",91,"Hungary, Austria, France","Hungarian, English, Russian",György Pálfi,"Lajos Parti Nagy, György Pálfi",Amour Fou Vienna,"Csaba Czene, Gergely Trócsányi, Marc Bischoff, Gina Moreno, István Gyuricza, Piroska Molnár, Gábor Máté, Géza D. Hegedüs, Zoltán Koppány, Erwin Leder, Adél Stanczel, Éva Kuli, Lajos Parti Nagy, Attila Lõrinczy, Mihály Pálfi",6.9,15530,1550000,11408,82567,83.0,43.0,95.0
Tideland,2005,"Drama, Fantasy, Horror",120,"UK, Canada",English,Terry Gilliam,"Tony Grisoni, Terry Gilliam",Recorded Picture Company (RPC),"Jodelle Ferland, Janet McTeer, Brendan Fletcher, Jennifer Tilly, Jeff Bridges, Dylan Taylor, Wendy Anderson, Sally Crooks",6.5,30506,19300000,66453,566611,26.0,203.0,143.0
88 Minutes,2007,"Crime, Drama, Mystery",108,"USA, Germany, Canada",English,Jon Avnet,Gary Scott Thompson,Millennium Films,"Al Pacino, Alicia Witt, Leelee Sobieski, Amy Brenneman, William Forsythe, Deborah Kara Unger, Ben McKenzie, Neal McDonough, Leah Cairns, Stephen Moyer, Christopher Redman, Trilby Glover, Damien Leake, Brendan Fletcher, Michael Eklund",5.9,72229,30000000,17213467,32593385,17.0,270.0,155.0
De battre mon coeur s'est arrêté,2005,"Crime, Drama, Music",108,France,"French, English, Russian, Vietnamese, Mandarin",Jacques Audiard,"Jacques Audiard, Tonino Benacquista",Why Not Productions,"Romain Duris, Niels Arestrup, Jonathan Zaccaï, Gilles Cohen, Linh Dan Pham, Aure Atika, Emmanuelle Devos, Anton Yakovlev, Mélanie Laurent, Agnès Aubé, Etienne Dirand, Denis Falgoux, Serge Onteniente, Sandy Whitelaw, Emmanuel Finkiel",7.3,17965,5777000,1023424,11757109,75.0,77.0,108.0
L'ennemi public n°1,2008,"Action, Biography, Crime",133,"France, Canada","French, English",Jean-François Richet,"Abdel Raouf Dafri, Abdel Raouf Dafri",La Petite Reine,"Vincent Cassel, Ludivine Sagnier, Mathieu Amalric, Samuel Le Bihan, Gérard Lanvin, Olivier Gourmet, Georges Wilson, Michel Duchaussoy, Anne Consigny, Laure Marsac, Alain Fromager, Alain Doutey, Arsène Mosca, Christophe Vandevelde, Luc Thuillier",7.5,27086,23070940,275387,321353,72.0,36.0,115.0
Downloading Nancy,2008,"Drama, Thriller",102,USA,English,Johan Renck,"Pamela Cuming, Lee Ross",Tule River Films,"Maria Bello, Rufus Sewell, Jason Patric, Amy Brenneman, Michael Nyqvist, David Lawrence Brown, Josh Strait, Kimberly Elek, Matthew Harrison, Sunny Doench, Justin Scot",5.8,2542,3000000,22282,22282,19.0,32.0,33.0
Hellboy II: The Golden Army,2008,"Action, Adventure, Fantasy",120,"USA, Germany, Hungary","English, Scottish Gaelic",Guillermo del Toro,"Guillermo del Toro, Guillermo del Toro",Universal Pictures,"Ron Perlman, Selma Blair, Doug Jones, John Alexander, James Dodd, Seth MacFarlane, Luke Goss, Anna Walton, Jeffrey Tambor, John Hurt, Brian Steele, Andrew Hefler, Iván Kamarás, Mike Kelly, Jeremy Zimmermann",7.0,246472,85000000,75986503,160388063,78.0,369.0,362.0
Broken Flowers,2005,"Comedy, Drama, Mystery",106,"France, USA",English,Jim Jarmusch,"Jim Jarmusch, Bill Raden",Focus Features,"Bill Murray, Julie Delpy, Heather Simms, Brea Frazier, Jarry Fall, Korka Fall, Saul Holland, Zakira Holland, Niles Lee Wilson, Jeffrey Wright, Meredith Patterson, Jennifer Rapp, Nicole Abisinio, Ryan Donowho, Alexis Dziena",7.2,93843,10000000,13744960,46720491,79.0,529.0,234.0
The World's Fastest Indian,2005,"Biography, Drama, Sport",127,"New Zealand, Japan, USA",English,Roger Donaldson,Roger Donaldson,OLC / Rights Entertainment,"Anthony Hopkins, Iain Rea, Tessa Mitchell, Aaron Murphy, Tim Shadbolt, Annie Whittle, Greg Johnson, Antony Starr, Kate Sullivan, Craig Hall, Jim Bowman, Alison Bruce, Phoebe Falconer, Charles Pierard, Barry Ryan",7.8,49686,25000000,5128124,18297690,68.0,256.0,125.0
Brideshead Revisited,2008,"Drama, Romance",133,"UK, Italy, Morocco","English, Italian, Arabic, Latin, French",Julian Jarrold,"Andrew Davies, Jeremy Brock",Ecosse Films,"Matthew Goode, Thomas Morrison, David Barrass, Anna Madeley, Sarah Crowden, Stephen Carlile, Peter Barnes, Hayley Atwell, Patrick Malahide, Richard Teverson, Joseph Beattie, Ben Whishaw, Roger Walker, Mark Field, Mark Edel-Hunt",6.7,11605,20000000,6432256,13451186,64.0,102.0,132.0
Delirious,2006,"Comedy, Drama, Romance",107,USA,English,Tom DiCillo,Tom DiCillo,Peace Arch Entertainment Group,"Steve Buscemi, Michael Pitt, Alison Lohman, Gina Gershon, Callie Thorne, Kevin Corrigan, Richard Short, Elvis Costello, David Wain, Mel Gorham, Peter Appel, Cinqué Lee, Kevin Phillips, Rodrigo Lopresti, Melissa Rauch",6.5,5763,5000000,86460,659589,68.0,22.0,50.0
Mrs Henderson Presents,2005,"Comedy, Drama, Music",103,"UK, USA",English,Stephen Frears,"David Rose, Kathy Rose",Pathé Pictures,"Judi Dench, Bob Hoskins, Will Young, Christopher Guest, Kelly Reilly, Thelma Barlow, Anna Brewster, Rosalind Halstead, Sarah Solemani, Natalia Tena, Thomas Allen, Richard Syms, Ralph Nossek, Camille O'Sullivan, Doraly Rosen",7.0,14725,20000000,11036366,27876417,71.0,182.0,137.0
Evan Almighty,2007,"Comedy, Family, Fantasy",96,USA,English,Tom Shadyac,"Steve Oedekerk, Steve Oedekerk",Universal Pictures,"Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons, Graham Phillips, Jimmy Bennett, John Goodman, Wanda Sykes, John Michael Higgins, Jonah Hill, Molly Shannon, Harve Presnell, P.J. Byrne, Ralph Louis Harris, Arden Myrin",5.4,132822,175000000,100462298,173418781,37.0,285.0,188.0
Shrek the Third,2007,"Animation, Adventure, Comedy",93,USA,English,"Chris Miller, Raman Hui","Jeffrey Price, Peter S. Seaman",DreamWorks Animation,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, Susanne Blakeslee, Cody Cameron, Larry King, Christopher Knights, John Krasinski, Ian McShane",6.0,262467,160000000,322719944,804438141,58.0,348.0,227.0
Spider-Man 3,2007,"Action, Sci-Fi",139,USA,"English, French",Sam Raimi,"Sam Raimi, Ivan Raimi",Columbia Pictures,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Theresa Russell, Dylan Baker, Bill Nunn, Bruce Campbell, Elizabeth Banks, Ted Raimi",6.2,471773,258000000,336530303,890871626,59.0,2011.0,413.0
Charlotte's Web,2006,"Comedy, Family, Fantasy",97,"USA, Germany, Australia",English,Gary Winick,"Susannah Grant, Karey Kirkpatrick",Paramount Pictures,"Julia Roberts, Steve Buscemi, John Cleese, Oprah Winfrey, Cedric the Entertainer, Kathy Bates, Reba McEntire, Robert Redford, Thomas Haden Church, André Benjamin, Dominic Scott Kay, Sam Shepard, Abraham Benrubi, Dakota Fanning, Kevin Anderson",6.3,34446,85000000,82985708,144877632,68.0,108.0,115.0
Elizabeth: The Golden Age,2007,"Biography, Drama, History",114,"UK, France, Germany, USA","English, Spanish, Swedish",Shekhar Kapur,"William Nicholson, Michael Hirst",Universal Pictures,"Jordi Mollà, Aimee King, Cate Blanchett, Laurence Fox, John Shrapnel, Geoffrey Rush, Susan Lynch, Elise McCave, Samantha Morton, Abbie Cornish, Penelope McGhie, Rhys Ifans, Eddie Redmayne, Stuart McLoughlin, Clive Owen",6.8,63436,55000000,16383509,74237563,45.0,230.0,202.0
Pride & Prejudice,2005,"Drama, Romance",129,"France, UK, USA",English,Joe Wright,"Jane Austen, Deborah Moggach",Focus Features,"Keira Knightley, Talulah Riley, Rosamund Pike, Jena Malone, Carey Mulligan, Donald Sutherland, Brenda Blethyn, Claudie Blakley, Sylvester Morand, Simon Woods, Kelly Reilly, Matthew Macfadyen, Pip Torrens, Janet Whiteside, Sinead Matthews",7.8,235653,28000000,38405088,120191768,82.0,1113.0,174.0
Banlieue 13,2004,"Action, Crime, Sci-Fi",84,France,"French, Spanish",Pierre Morel,"Luc Besson, Bibi Naceri",EuropaCorp,"Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri, Dany Verissimo-Petit, François Chattot, Nicolas Woirion, Patrick Olivier, Samir Guesmi, Jérôme Gadner, Tarik Boucekhine, Grégory Jean, Warren Zavatta, Dominique Dorol, Ludovic Berthillot",7.2,63793,13080000,1200216,9776625,70.0,158.0,153.0
Barnyard,2006,"Animation, Adventure, Comedy",90,"USA, Germany, Netherlands",English,Steve Oedekerk,Steve Oedekerk,O Entertainment,"Kevin James, Courteney Cox, Sam Elliott, Danny Glover, Wanda Sykes, Andie MacDowell, David Koechner, Jeffrey Garcia, Cam Clarke, Rob Paulsen, Tino Insana, Dom Irrera, S. Scott Bullock, John DiMaggio, Maurice LaMarche",5.5,25733,51000000,72637803,116476887,42.0,169.0,100.0
The Quiet,2005,"Crime, Drama, Thriller",96,USA,"English, American Sign Language",Jamie Babbit,"Abdi Nazemian, Micah Schraft",Andrea Sperling Productions,"Elisha Cuthbert, Camilla Belle, Edie Falco, Martin Donovan, Shawn Ashmore, Katy Mixon, David Gallagher, Shannon Woodward, Mj Vandivier, Jo Baker, Steve Uzzell, Ken Thomas, Rudy Costa, Myrna Cabello, Diane Quest",6.3,14847,900000,381420,381420,29.0,97.0,58.0
Final Destination 3,2006,"Horror, Thriller",93,"USA, Germany",English,James Wong,"Glen Morgan, James Wong",New Line Cinema,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson, Sam Easton, Jesse Moss, Gina Holden, Texas Battle, Chelan Simmons, Yan-Kay Crystal Lowe, Amanda Crew, Maggie Ma, Ecstasia Sanders, Jody Racicot, Patrick Gallagher",5.8,123446,25000000,54098051,117719158,41.0,579.0,222.0
The Fountain,2006,"Drama, Mystery, Romance",97,"Canada, USA","English, Maya",Darren Aronofsky,"Darren Aronofsky, Darren Aronofsky",Warner Bros.,"Hugh Jackman, Rachel Weisz, Ellen Burstyn, Mark Margolis, Stephen McHattie, Fernando Hernandez, Cliff Curtis, Sean Patrick Thomas, Donna Murphy, Ethan Suplee, Richard McMillan, Lorne Brass, Abraham Aronofsky, Renee Asofsky, Anish Majumdar",7.2,219037,35000000,10144010,15978422,51.0,974.0,285.0
Talladega Nights: The Ballad of Ricky Bobby,2006,"Comedy, Sport",108,USA,"English, French",Adam McKay,"Will Ferrell, Adam McKay",Columbia Pictures,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole, Michael Clarke Duncan, Leslie Bibb, Jane Lynch, Amy Adams, Andy Richter, Molly Shannon, Greg Germann, David Koechner, Jack McBrayer, Ian Roberts, Pat Hingle",6.6,157517,72500000,148213377,162966177,66.0,464.0,175.0
Hate Crime,2005,"Crime, Drama, Mystery",103,USA,English,Tommy Stovall,Tommy Stovall,Pasidg Productions Inc.,"Seth Peterson, Bruce Davison, Chad Donella, Cindy Pickett, Brian J. Smith, Susan Blakely, Lin Shaye, Farah White, Giancarlo Esposito, Sean Hennigan, Brandy Little, Ben Bathman, Lukas King, Earl Browning III, Scarlett McAlister",6.3,1272,500000,40758,40758,41.0,42.0,15.0
Hounddog,2007,"Drama, Music",102,USA,English,Deborah Kampmeier,Deborah Kampmeier,Deerjen Films,"Dakota Fanning, Granoldo Frazier, Isabelle Fuhrman, Cody Hanford, Piper Laurie, Charlie Lucas, Herman McCloud, Chandler McIntyre, David Morse, Robin Mullins, Afemo Omilami, Tom Oppenheim, Tim Parati, Blake Rayne, Robin Wright",6.3,5766,3750000,131961,131961,31.0,62.0,38.0
Martian Child,2007,"Comedy, Drama, Family",106,USA,English,Menno Meyjes,"Seth Bass, Jonathan Tolins",New Line Cinema,"John Cusack, Bobby Coleman, Amanda Peet, Sophie Okonedo, Joan Cusack, Oliver Platt, Bud, Richard Schiff, Taya Calicetto, David Kaye, Braxton Bonneville, Samuel Charles, Zak Ludwig, Samuel Patrick Chu, Ryan Morrissette",6.8,19365,27000000,7500310,9411042,48.0,108.0,111.0
Me and You and Everyone We Know,2005,"Comedy, Drama",91,"USA, UK",English,Miranda July,Miranda July,IFC Films,"John Hawkes, Miranda July, Miles Thompson, Brandon Ratcliff, Carlie Westerman, Hector Elias, Brad William Henke, Natasha Slayton, Najarra Townsend, Tracy Wright, JoNell Kennedy, Ellen Geer, Colette Kilroy, James Kayten, Amy French",7.3,33675,2000000,3885134,8012838,76.0,253.0,150.0
Mongol,2007,"Action, Biography, Drama",126,"Russia, Germany, Kazakhstan, China","Mongolian, Mandarin",Sergei Bodrov,"Arif Aliev, Sergei Bodrov",CTB Film Company,"Tadanobu Asano, Honglei Sun, Khulan Chuluun, Aliya, Baasanjav Mijid, Amadu Mamadakov, He Qi, Ben Hon Sun, Ji Ri Mu Tu, You Er, Huntun Batu, Deng Ba Te Er, Bao Di, Su Ya La Su Rong, Sai Xing Ga",7.2,42717,18000000,5705761,26527510,74.0,176.0,162.0
Resurrecting the Champ,2007,"Drama, Sport",112,USA,English,Rod Lurie,"Michael Bortman, Allison Burnett",Phoenix Pictures,"Samuel L. Jackson, Josh Hartnett, Kathryn Morris, Dakota Goyo, Alan Alda, Rachel Nichols, Teri Hatcher, Kristen Shaw, Nick Sandow, David Paymer, Harry Lennix, Peter Coyote, Ryan McDonald, Chris Ippolito, Jameson Trenholm",6.7,19752,13000000,3172573,3243611,55.0,62.0,107.0
The Secret Life of Bees,2008,Drama,114,USA,English,Gina Prince-Bythewood,"Gina Prince-Bythewood, Sue Monk Kidd",Fox Searchlight Pictures,"Dakota Fanning, Queen Latifah, Jennifer Hudson, Alicia Keys, Sophie Okonedo, Paul Bettany, Hilarie Burton, Tristan Mack Wilds, Nate Parker, Shondrella Avery, Renee Ford Clark, Sharon Conley, Nicky Buggs, Jasmine Burke, Emma Sage Bowman",7.3,23010,11000000,37770162,39947322,57.0,114.0,100.0
The Spiderwick Chronicles,2008,"Action, Adventure, Drama",96,USA,English,Mark Waters,"Karey Kirkpatrick, David Berenbaum",Paramount Pictures,"Freddie Highmore, Mary-Louise Parker, Nick Nolte, Sarah Bolger, Andrew McCarthy, Joan Plowright, David Strathairn, Seth Rogen, Martin Short, Jordy Benattar, Tod Fennell, Mariah Inger, Jeremy Lavalley, Lise Durocher-Viens, Tyler Patrick Jones",6.5,83209,90000000,71195053,162839667,62.0,139.0,193.0
Wolf Creek,2005,"Horror, Thriller",99,Australia,"English, Swedish",Greg McLean,Greg McLean,The Australian Film Finance Corporation,"John Jarratt, Cassandra Magrath, Kestie Morassi, Nathan Phillips, Gordon Poole, Guy O'Donnell, Phil Stevenson, Geoff Revell, Andy McPhee, Aaron Sterns, Michael Moody, Andrew Reimer, Vicki Reimer, Isabella Reimer, David Rock",6.2,64495,1000000,16188180,30762648,54.0,718.0,314.0
Match Point,2005,"Drama, Romance, Thriller",124,"UK, Ireland, Luxembourg",English,Woody Allen,Woody Allen,BBC Films,"Jonathan Rhys Meyers, Alexander Armstrong, Paul Kaye, Matthew Goode, Brian Cox, Penelope Wilton, Emily Mortimer, Janis Kelly, Alan Oke, Mark Gatiss, Scarlett Johansson, Philip Mansfield, Simon Kunz, Geoffrey Streatfeild, Mary Hegarty",7.6,194735,15000000,23151529,85306374,72.0,764.0,271.0
300,2006,"Action, Drama, Fantasy",117,"USA, Canada, Bulgaria",English,Zack Snyder,"Zack Snyder, Kurt Johnstad",Warner Bros.,"Gerard Butler, Lena Headey, Dominic West, David Wenham, Vincent Regan, Michael Fassbender, Tom Wisdom, Andrew Pleavin, Andrew Tiernan, Rodrigo Santoro, Giovani Cimmino, Stephen McHattie, Greg Kramer, Alex Ivanovici, Kelly Craig",7.7,702777,65000000,210614939,456068181,52.0,2142.0,463.0
Becoming Jane,2007,"Biography, Drama, Romance",120,"UK, Ireland",English,Julian Jarrold,"Jane Austen, Kevin Hood",HanWay Films,"Anne Hathaway, James McAvoy, Julie Walters, James Cromwell, Maggie Smith, Anna Maxwell Martin, Lucy Cohu, Laurence Fox, Ian Richardson, Joe Anderson, Leo Bill, Jessica Ashworth, Eleanor Methven, Michael James Ford, Tom Vaughan-Lawlor",7.1,55440,16500000,18670946,37311672,55.0,157.0,153.0
Girl Play,2004,Comedy,80,USA,English,Lee Friedlander,"Lee Friedlander, Robin Greenspan",Goff-Kellam Productions,"Robin Greenspan, Lacie Harmon, Mink Stole, Dom DeLuise, Katherine Randolph, Lauren Maher, Gina DeVivo, Shannon Perez, Dominic Ottersbach, Julie Briggs, Peter Ente, Graham T. McClusky, Skye Emerson, Jessica Golden, Lyn Alicia Henderson",4.5,733,1000000,11523,11523,37.0,17.0,6.0
Must Love Dogs,2005,"Comedy, Romance",98,USA,"English, Armenian",Gary David Goldberg,"Claire Cook, Gary David Goldberg",Warner Bros.,"Diane Lane, John Cusack, Elizabeth Perkins, Christopher Plummer, Dermot Mulroney, Stockard Channing, Ali Hillis, Brad William Henke, Julie Gonzalo, Glenn Howerton, Ben Shenkman, Jordana Spiro, Kirk Trutner, Victor Webster, Michael Spound",5.9,29518,30000000,43894863,58231520,46.0,267.0,120.0
Snakes on a Plane,2006,"Action, Crime, Thriller",105,"USA, Germany",English,David R. Ellis,"John Heffernan, Sebastian Gutierrez",New Line Cinema,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard, Flex Alexander, Kenan Thompson, Keith Dallas, Lin Shaye, Bruce James, Sunny Mabrey, Casey Dubois, Daniel Hogarth, Gerard Plunkett, Terry Chen, Elsa Pataky",5.4,127576,33000000,34020814,62022014,58.0,1047.0,286.0
Two for the Money,2005,"Drama, Sport, Thriller",122,USA,English,D.J. Caruso,Dan Gilroy,Universal Pictures,"Al Pacino, Matthew McConaughey, Rene Russo, Armand Assante, Jeremy Piven, Jaime King, Kevin Chapman, Ralph Garman, Gedde Watanabe, Carly Pope, Charles Carroll, Gerard Plunkett, Craig Veroni, James Kirk, Chrislyn Austin",6.3,41569,35000000,22991379,30526509,50.0,147.0,109.0
