title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
Rare Exports,2010,"Adventure, Fantasy, Horror",84,"Finland, Norway, France, Sweden","Finnish, English",Jalmari Helander,"Jalmari Helander, Jalmari Helander",Cinet,"Onni Tommila, Jorma Tommila, Tommi Korpela, Rauno Juvonen, Per Christian Ellefsen, Ilmari Järvenpää, Peeter Jakobi, Jonathan Hutchings, Risto Salmi, Jens Sivertsen, Sigmund Bøe, Olav Pedersen, Nils M. Iselvmo, Steinar Skogstad, Nils Nymo",6.7,24205,2123320,236347,4015133,71.0,86.0,243.0
Unknown,2011,"Action, Mystery, Thriller",113,"UK, Germany, France, USA","English, German, Turkish, Arabic",Jaume Collet-Serra,"Oliver Butcher, Stephen Cornwell",Dark Castle Entertainment,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock, Mido Hamada, Clint Dyer, Karl Markovics, Eva Löbau, Helen Wiebensohn",6.8,238128,30000000,63686397,130786397,56.0,364.0,357.0
A Boy Called Po,2016,"Drama, Fantasy",95,USA,English,John Asher,"Colin Goldman, Colin Goldman",Commonwealth Film Manufacturing,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Sean Gunn, Caitlin Carmichael, Bryan Batt, Fay Masterson, Brian George, Tristian Chase, Jayden Anderson, Kassi Crews, Tammy Dahlstrom, Mason Hafer, Starla Hall",6.9,720,1693000,4550,4550,47.0,11.0,13.0
La petite chambre,2010,Drama,87,"Switzerland, Luxembourg","French, English","Stéphanie Chuat, Véronique Reymond","Stéphanie Chuat, Véronique Reymond",Vega Film,"Florence Loiret Caille, Michel Bouquet, Éric Caravaca, Joël Delsaut, Valérie Bodson, Fabienne Barraud, Frédéric Landenberg, Antonio Buíl, Paulin Jaccoud, Iannis Jaccoud, Paul Mayoraz, Claudine Pelletier, Marc Olinger, Pierre Mifsud, Piera Honegger",6.9,192,218000,7440,50421,69.0,1.0,23.0
Happy Feet Two,2011,"Animation, Adventure, Comedy",100,"Australia, USA",English,"George Miller, Gary Eck","George Miller, Gary Eck",Warner Bros.,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez, Sofía Vergara, Robin Williams, Elijah Wood, Pink, Ava Acres, Benjamin Flores Jr., Meibh Campbell, Common, Magda Szubanski, Hugo Weaving, Brad Pitt",5.9,39241,135000000,64006466,150406466,50.0,84.0,158.0
Hesher,2010,"Comedy, Crime, Drama",106,USA,English,Spencer Susser,"Spencer Susser, David Michôd",The Last Picture Company,"Joseph Gordon-Levitt, Devin Brochu, Rainn Wilson, Piper Laurie, Natalie Portman, Brendan Hill, John Carroll Lynch, Monica Staggs, Mary Elizabeth Barrett, Audrey Wasilewski, Lyle Kanouse, Frank Collison, Van Epperson, Helen Slayton-Hughes, Paul Bates",7.0,49068,7000000,382946,449702,45.0,103.0,137.0
Paradies: Liebe,2012,Drama,120,"Austria, Germany, France","German, English, Swahili",Ulrich Seidl,"Ulrich Seidl, Veronika Franz",Ulrich Seidl Film Produktion GmbH,"Margarete Tiesel, Peter Kazungu, Inge Maux, Dunja Sowinetz, Helen Brugat, Gabriel Mwarua, Josphat Hamisi, Carlos Mkutano, Melanie Lenz, Maria Hofstätter, Livingson Nyambu, Tobias Kasiwa, Leonora Migide, Anderson Mutisya, Francis Aluoch",7.1,7906,3924000,24267,1709036,65.0,27.0,120.0
Wolves,2014,"Action, Fantasy, Horror",91,"France, Canada",English,David Hayter,David Hayter,TF1 International,"Lucas Till, Stephen McHattie, John Pyper-Ferguson, Merritt Patterson, Jason Momoa, Janet-Laine Green, Melanie Scrofano, Adam Butcher, Philip Maurice Hayes, Brandon McGibbon, Miriam McDonald, Stephen Sparks, Jennifer Hale, Kaitlyn Leeb, Daniel Kelly",5.3,7527,18000000,12139,491154,37.0,50.0,61.0
True Grit,2010,"Drama, Western",110,USA,English,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen",Paramount Pictures,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin, Barry Pepper, Dakin Matthews, Jarlath Conroy, Paul Rae, Domhnall Gleeson, Elizabeth Marvel, Roy Lee Jones, Ed Corbin, Leon Russom, Bruce Green, Candyce Hinkle",7.6,290422,38000000,171243005,252276927,80.0,782.0,515.0
Remember Me,2010,"Drama, Romance",113,USA,"English, Chinese",Allen Coulter,Will Fetters,Summit Entertainment,"Caitlyn Rund, Moisés Acevedo, Noel Rodriguez, Kevin P. McCarthy, Chris Cooper, Robert Pattinson, Athena Currey, Lena Olin, Gregory Jbara, Ruby Jerins, Pierce Brosnan, Angela Pietropinto, Tate Ellington, David Deblinger, Emilie de Ravin",7.1,131316,16000000,19068240,56032889,40.0,385.0,148.0
