bom_id,title,total_gross,theaters,release_date,year
rl3444082177,The Challenge,2977706,228,1982-07-23,1982
rl3277424129,Homework,2914328,262,1982-08-27,1982
rl22906369,Jinxed!,2869638,877,1982-10-22,1982
rl1970898433,Venom,5229643,900,1982-01-29,1982
rl1715701249,The Amateur,6892098,437,1982-02-12,1982
rl424183297,It Came from Hollywood,2573342,650,1982-10-29,1982
rl761366017,A Little Sex,2370376,550,1982-04-02,1982
rl2705950209,Buddy Buddy,7258543,248,1982-12-11,1982
rl2843379201,"Yes, Giorgio",2279543,424,1982-09-24,1982
rl2252703233,Barbarosa,1736123,187,1982-02-19,1982
rl1986954753,The Sender,1054328,300,1982-10-22,1982
rl3126953473,Lookin' to Get Out,946461,303,1982-10-08,1982
rl3026617857,One from the Heart,636796,41,1982-02-12,1982
rl1549764097,The Last American Virgin,5829781,158,1982-08-06,1982
rl2456847873,Sophie's Choice,30036000,548,1982-12-10,1982
rl3797255681,Gandhi,52767889,825,1982-12-10,1982
rl3879831041,Five Days One Summer,199078,6,1982-11-12,1982
rl3427894785,The Escape Artist,143369,2,1982-05-28,1982
rl2655618561,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,78350,33,1982-11-19,1982
rl2792588801,Star Wars: Episode VI - Return of the Jedi,252583617,1764,1983-05-25,1983
rl3411248641,Flashdance,92921203,1140,1983-04-15,1983
rl1081574913,Trading Places,90404800,1389,1983-06-10,1983
rl846759425,WarGames,79567667,977,1983-06-03,1983
rl275154433,Octopussy,67893619,1339,1983-06-10,1983
rl2389935617,Staying Alive,64892670,1747,1983-07-15,1983
rl40666625,Risky Business,63541777,1137,1983-08-05,1983
rl2187691521,Mr. Mom,64783827,1362,1983-07-22,1983
rl561612289,National Lampoon's Vacation,61399552,1253,1983-07-29,1983
rl4285695489,Superman III,59950623,1763,1983-06-17,1983
rl3496248833,Never Say Never Again,55432841,1560,1983-10-07,1983
rl3596256769,Jaws 3-D,45517055,1311,1983-07-22,1983
rl373720577,Blue Thunder,42313354,1555,1983-05-13,1983
rl407340545,The Big Chill,56342711,832,1983-09-30,1983
rl3111290369,Sudden Impact,67642693,1602,1983-12-09,1983
rl376079873,Psycho II,34725000,1488,1983-06-03,1983
rl3245704705,Terms of Endearment,108423489,1259,1983-11-23,1983
rl1818985985,Porky's II: The Next Day,33759266,1564,1983-06-24,1983
rl242255361,Snow White and the Seven Dwarfs,30100000,1362,1983-07-15,1983
rl7767553,Twilight Zone: The Movie,29450919,1288,1983-06-24,1983
rl894535169,Easy Money,29309766,1171,1983-08-19,1983
rl1163494913,High Road to China,28445927,1508,1983-03-18,1983
rl1953072641,The Outsiders,25697647,1002,1983-03-25,1983
rl91457025,Spring Break,24071666,1531,1983-03-25,1983
rl1331987969,My Tutor,22587834,500,1983-03-04,1983
rl994739713,Class,21667789,844,1983-07-22,1983
rl4216161793,Cujo,21156152,1293,1983-08-12,1983
rl2538374657,The Dead Zone,20766616,1293,1983-10-21,1983
rl726238721,Breathless,19910002,1166,1983-05-13,1983
rl4251944449,Scarface,44668798,1008,1983-12-09,1983
rl4150494721,Max Dugan Returns,17613720,801,1983-03-25,1983
rl477726209,Valley Girl,17343596,442,1983-04-29,1983
rl426542593,All the Right Moves,17233166,909,1983-10-21,1983
rl3848046081,Krull,16519460,1289,1983-07-29,1983
rl3832579585,Spacehunter: Adventures in the Forbidden Zone,16478265,1344,1983-05-20,1983
rl996967937,Richard Pryor... Here and Now,16156776,1411,1983-10-28,1983
rl2034992641,Still Smokin,15543710,730,1983-05-06,1983
rl1751483905,The Meaning of Life,14929552,554,1983-04-01,1983
rl3412821505,Private School,14049540,1024,1983-07-29,1983
rl3715270145,The Survivors,14000000,1014,1983-06-24,1983
rl106006017,Educating Rita,14648076,407,1983-09-23,1983
rl3645998593,The Entity,13277558,1035,1983-02-04,1983
rl1366984193,A Christmas Story,19294144,938,1983-11-18,1983
rl1500677633,Stroker Ace,13000000,1385,1983-07-01,1983
rl3078260225,Yentl,40218899,747,1983-11-18,1983
rl1533117953,Lone Wolf McQuade,12232628,1221,1983-04-15,1983
rl2504492545,The Black Stallion Returns,12049108,1376,1983-03-25,1983
rl644646401,The Right Stuff,21192102,627,1983-10-21,1983
rl158696961,The Sword in the Stone,12000000,741,1983-03-25,1983
rl4115432961,Deathstalker,11919250,250,1983-09-02,1983
rl3141633537,Two of a Kind,23646952,1278,1983-12-16,1983
rl3548022273,Zelig,11798616,245,1983-07-15,1983
rl2690745857,The Lords of Discipline,11787127,800,1983-02-18,1983
rl3513615873,Revenge of the Ninja,13168027,504,1983-09-09,1983
rl2672526849,Christine,21017849,1101,1983-12-09,1983
rl2826339841,Uncommon Valor,30503151,1076,1983-12-16,1983
rl207193601,Hercules,10676194,1014,1983-08-26,1983
rl1264092673,The House on Sorority Row,10604986,153,1983-01-21,1983
rl2037220865,The Rescuers,21000000,1040,1983-12-16,1983
rl1095665153,Doctor Detroit,10375893,1343,1983-05-06,1983
rl2320270849,Deal of the Century,10369581,1226,1983-11-04,1983
rl3747644929,The Man with Two Brains,10353438,1203,1983-06-03,1983
rl3799680513,The Year of Living Dangerously,10278575,690,1983-01-21,1983
rl3662054913,Brainstorm,10219460,498,1983-09-30,1983
rl576751105,Lovesick,10171304,744,1983-02-18,1983
rl3581642241,Without a Trace,9632062,721,1983-02-04,1983
rl1480951297,Bad Boys,9190819,535,1983-03-25,1983
rl158500353,Strange Brew,8571374,849,1983-08-26,1983
rl3698689537,Tender Mercies,8443124,37,1983-03-04,1983
rl3027273217,Something Wicked This Way Comes,8400000,817,1983-04-29,1983
rl275809793,The Smurfs and the Magic Flute,11234220,432,1983-10-07,1983
rl776046081,10 to Midnight,7175592,595,1983-03-11,1983
rl2574026241,Romantic Comedy,6857733,911,1983-10-07,1983
rl1047102977,The Osterman Weekend,6486797,670,1983-10-21,1983
rl3295905281,The Sting II,6347072,1294,1983-02-18,1983
rl2235794945,Amityville 3-D,6333135,1254,1983-11-18,1983
rl3561522689,Chained Heat,6149983,417,1983-05-27,1983
rl1162642945,D.C. Cab,16134627,908,1983-12-16,1983
rl1450280449,Silkwood,35615609,843,1983-12-16,1983
rl3225716225,Beyond the Limit,5997566,707,1983-09-30,1983
rl4065887745,The Hunger,5979292,775,1983-04-29,1983
rl56722945,Local Hero,5895761,207,1983-02-18,1983
rl2641790465,Under Fire,5696391,816,1983-10-21,1983
rl661685761,Smokey and the Bandit Part 3,5678950,1119,1983-08-12,1983
rl962037249,Gorky Park,15856028,631,1983-12-16,1983
