bom_id,imdb_id,title,actor_1,actor_2,actor_3,actor_4,director,writer,producer,cinematographer,editor,production_designer,composer
rl1766622721,tt0106673,Dave (1993),Kevin Kline,Sigourney Weaver,Frank Langella,Kevin Dunn,Ivan Reitman,Gary Ross,Ivan Reitman|Lauren Shuler Donner,Adam Greenberg,Sheldon Kahn,J. Michael Riva,James Newton Howard
rl7112193,tt0107969,Rising Sun (1993),Sean Connery,Wesley Snipes,Harvey Keitel,Cary-Hiroyuki Tagawa,Philip Kaufman,Michael Crichton|Philip Kaufman|Michael Crichton|Michael Backes,Peter Kaufman,Michael Chapman,Stephen A. Rotter|William S. Scharf,Dean Tavoularis,Tôru Takemitsu
rl894273025,tt0106611,Cool Runnings (1993),John Candy,Leon,Doug E. Doug,Rawle D. Lewis,Jon Turteltaub,Lynn Siefert|Michael Ritchie|Lynn Siefert|Tommy Swerdlow|Michael Goldberg,Dawn Steel,Phedon Papamichael,Bruce Green,Stephen Marsh,Hans Zimmer
rl407864833,tt0106697,Demolition Man (1993),Sylvester Stallone,Wesley Snipes,Sandra Bullock,Nigel Hawthorne,Marco Brambilla,Peter M. Lenkov|Robert Reneau|Daniel Waters|Robert Reneau|Peter M. Lenkov,Howard G. Kazanjian|Michael Levy|Joel Silver,Alex Thomson,Stuart Baird,David L. Snyder,Elliot Goldenthal
rl2238481921,tt0107985,Rookie of the Year (1993),Thomas Ian Nicholas,Gary Busey,Albert Hall,Amy Morton,Daniel Stern,Sam Harper,Robert Harper,Jack N. Green,Donn Cambern|Raja Gosnell,Steven J. Jordan,Bill Conti
rl474973697,tt0106701,Dennis the Menace (1993),Walter Matthau,Mason Gamble,Joan Plowright,Christopher Lloyd,Nick Castle,Hank Ketcham|John Hughes,John Hughes|Richard Vane,Thomas E. Ackerman,Alan Heim,Jim Bissell|David Willson,Jerry Goldsmith
rl426280449,tt0107798,The Pelican Brief (1993),Julia Roberts,Denzel Washington,Sam Shepard,John Heard,Alan J. Pakula,John Grisham|Alan J. Pakula,Pieter Jan Brugge|Alan J. Pakula,Stephen Goldblatt,Tom Rolf|Trudy Ship,Philip Rosenberg,James Horner
rl2960164353,tt0108185,Sommersby (1993),Richard Gere,Jodie Foster,Lanny Flaherty,Wendell Wellman,Jon Amiel,Daniel Vigne|Jean-Claude Carrière|Nicholas Meyer|Anthony Shaffer|Nicholas Meyer|Sarah Kernochan,Arnon Milchan|Steven Reuther,Philippe Rousselot,Peter Boyle,Bruno Rubeo,Danny Elfman
rl1499432449,tt0107362,Last Action Hero (1993),Arnold Schwarzenegger,F. Murray Abraham,Art Carney,Charles Dance,John McTiernan,Zak Penn|Adam Leff|Shane Black|David Arnott,John McTiernan|Stephen J. Roth,Dean Semler,Richard A. Harris|John Wright,Eugenio Zanetti,Michael Kamen
rl124225025,tt0107688,The Nightmare Before Christmas (1993),Danny Elfman,Chris Sarandon,"""Catherine OHara""",William Hickey,Henry Selick,Tim Burton|Michael McDowell|Caroline Thompson,Tim Burton|Denise Di Novi|Don Hahn,Pete Kozachik,Stan Webb,NONE,Danny Elfman
rl2487322113,tt0108333,The Three Musketeers (1993),Charlie Sheen,Kiefer Sutherland,"""Chris ODonnell""",Oliver Platt,Stephen Herek,Alexandre Dumas|David Loughery,Roger Birnbaum|Joe Roth,Dean Semler,John F. Link,Wolf Kroeger,Michael Kamen
rl3999303169,tt0107497,Malice (1993),Alec Baldwin,Nicole Kidman,Bill Pullman,Bebe Neuwirth,Harold Becker,Aaron Sorkin|Jonas McCord|Aaron Sorkin|Scott Frank,Harold Becker|Charles Mulvehill|Rachel Pfeffer,Gordon Willis,David Bretherton,Philip Harrison,Jerry Goldsmith
rl1197508097,tt0107478,Made in America (1993),Whoopi Goldberg,Ted Danson,Will Smith,Nia Long,Richard Benjamin,Marcia Brandwynne|Nadine Schiff|Holly Goldberg Sloan|Holly Goldberg Sloan,Rick Bieber|Michael Douglas|Arnon Milchan,Ralf D. Bode,Jacqueline Cambas,Evelyn Sakash,Mark Isham
rl3377759745,tt0107034,The Good Son (1993),Macaulay Culkin,Elijah Wood,Wendy Crewson,David Morse,Joseph Ruben,Ian McEwan,Mary Ann Page|Joseph Ruben,John Lindley,George Bowers,Bill Groom,Elmer Bernstein
rl1950385665,tt0106220,Addams Family Values (1993),Anjelica Huston,Raul Julia,Christopher Lloyd,Joan Cusack,Barry Sonnenfeld,Charles Addams|Paul Rudnick,Scott Rudin,Donald Peterman,Jim Miller|Arthur Schmidt,Ken Adam,Marc Shaiman
rl3661923841,tt0106400,The Beverly Hillbillies (1993),Diedrich Bader,Erika Eleniak,Jim Varney,Cloris Leachman,Penelope Spheeris,Paul Henning|Lawrence Konner|Mark Rosenthal|Lawrence Konner|Mark Rosenthal|Jim Fisher|Jim Staahl,Ian Bryce|Penelope Spheeris,Robert Brinkmann,Ross Albert,Peter Jamison,Lalo Schifrin
rl3547629057,tt0108308,Teenage Mutant Ninja Turtles III (1993),Elias Koteas,Paige Turco,Stuart Wilson,Sab Shimono,Stuart Gillard,Kevin Eastman|Peter Laird|Stuart Gillard,David Chan|Kim Dawson|Thomas K. Gray,David Gurfinkel,William D. Gordean|James R. Symons,Roy Forge Smith,John Du Prez
